"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"246","#EU fines #Bulgaria 77 million euros #Economy #Balkans #EuropeanUnion https://t.co/ya2CFUxGbe",FALSE,0,NA,2018-12-18 10:39:54,FALSE,NA,"1074977548377960448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IBalkanNA",1,FALSE,FALSE,NA,NA
"247","Υπό πίεση Ρώμη και Βρυξέλλες #eu #economy https://t.co/Szd2Qq9sA0",FALSE,0,NA,2018-12-18 10:23:37,FALSE,NA,"1074973453265059840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","briefcy",0,FALSE,FALSE,NA,NA
"248","@JMPSimor Madness. So, no chance of #WA agreement approval in the Commons. Widespread rejection of a #NoDeal.… https://t.co/pdjywcvLCW",FALSE,3,"JMPSimor",2018-12-18 09:29:16,TRUE,"1074949160032526336","1074959773806813184","864030687120281602","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DalbidEU",1,FALSE,FALSE,NA,NA
"249","#Italy needs to cut 2.5-3 billion euros to clear 2019 budget with #EU.
Could Italy be the potential 'New Greece' of… https://t.co/ugHO16EDr1",FALSE,1,NA,2018-12-18 09:22:01,TRUE,NA,"1074957948877717504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HelenaHarris_",0,FALSE,FALSE,NA,NA
"250","Ευρωπαϊκές τράπεζες: Το επώδυνο 2018 και οι προκλήσεις του 2019 #eu #economy https://t.co/vcPnGEdPCv",FALSE,0,NA,2018-12-18 09:17:37,FALSE,NA,"1074956841757622272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","briefcy",0,FALSE,FALSE,NA,NA
"251","So happy to read that Croatia consider to make stronger diplomatic and economy ties with Africa #EU #Croatia #Futures #economy",FALSE,0,NA,2018-12-18 08:59:31,FALSE,NA,"1074952284889600001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zoranhorus",0,FALSE,FALSE,NA,NA
"252","There is no #Brexit that does not cause significant harm to #jobs &amp; the #UK economy

We KNOW that #EU migration has… https://t.co/B6pvJco5SP",FALSE,3,NA,2018-12-18 08:58:07,TRUE,NA,"1074951934086471681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JeSuisSabotEUr",0,FALSE,FALSE,NA,NA
"253","RT @Ian_Flaming: @darrengrimes_ @PrisonPlanet @SkyNews Darren, your pro-#Brexit stance is ridiculous! Wake up and smell the coffee. Do you…",FALSE,0,NA,2018-12-18 03:17:12,FALSE,NA,"1074866139510001664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BuzBuz",1,TRUE,FALSE,NA,NA
"254","@darrengrimes_ @PrisonPlanet @SkyNews Darren, your pro-#Brexit stance is ridiculous! Wake up and smell the coffee.… https://t.co/8gG75CbrhQ",FALSE,1,"darrengrimes_",2018-12-18 03:09:41,TRUE,"1074725061708406784","1074864248101265408","4691437897","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ian_Flaming",1,FALSE,FALSE,NA,NA
"255","Georgia's new pro-Western president seeks unity after vote protests| Read More https://t.co/ivnEexB7hQ… https://t.co/22trEQCwzR",FALSE,0,NA,2018-12-18 03:00:07,TRUE,NA,"1074861840524566528",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","thevisionable",0,FALSE,FALSE,NA,NA
